DBCODE,ENTITY,TREEID,COMPONENT,YEAR_AGG,YEAR_RAW,BA_M2,VOL_M3,BIO_MG,JENKBIO_MG,SPECIES,TAG,TREE_STATUS,DBH,CHECK_NOTES
TP001,11,HR01000100001,VSW,1978,1978,1.6286,38.1868,14.12911731,13.54530888,PISI,201,1,144.0,
TP001,11,HR01000100001,VSW,1984,1984,1.5703,36.5982,13.54134249,12.98174967,PISI,201,1,141.4,
TP001,11,HR01000100001,VSW,1989,1989,1.5904,37.1438,13.74318923,13.17528023,PISI,201,1,142.3,
TP001,11,HR01000100001,VSW,1995,1995,1.6627,39.1209,14.47472095,13.87667548,PISI,201,1,145.5,
TP001,11,HR01000100001,VSW,2000,2000,1.6995,40.1314,14.84863228,14.2351848,PISI,201,1,147.1,
TP001,11,HR01000100001,VSW,2007,2007,1.8027,42.9867,15.862097,15.24812545,PISI,201,1,151.5,
TP001,11,HR01000100002,VSW,1978,1978,0.0819,1.0534,0.442424868,0.439058133,TSHE,202,1,32.3,
TP001,11,HR01000100002,VSW,1984,1984,0.1087,1.5206,0.638641507,0.62335025,TSHE,202,1,37.2,
TP001,11,HR01000100002,VSW,1989,1989,0.1333,1.9828,0.832778433,0.803142927,TSHE,202,1,41.2,
TP001,11,HR01000100002,VSW,1995,1995,0.1655,2.6255,1.102701799,1.050047354,TSHE,202,1,45.9,
TP001,11,HR01000100002,VSW,2000,2000,0.2003,3.3652,1.413373868,1.330865334,TSHE,202,1,50.5,
TP001,11,HR01000100002,VSW,2007,2007,0.2588,4.6942,1.971556429,1.828735337,TSHE,202,1,57.4,
TP001,11,HR01000100003,VSW,1978,1978,0.0968,1.3074,0.549125687,0.539649732,TSHE,203,1,35.1,
TP001,11,HR01000100003,VSW,1984,1984,0.1238,1.8006,0.756257584,0.732530397,TSHE,203,1,39.7,
TP001,11,HR01000100003,VSW,1989,1989,0.1507,2.3246,0.976337927,0.934847444,TSHE,203,1,43.8,
TP001,11,HR01000100003,VSW,1995,1995,0.1507,2.3246,0.976337927,0.934847444,TSHE,203,6,0.0,
TP001,11,HR01000100004,VSW,1978,1978,0.0881,1.1581,0.486420695,0.480654565,TSHE,204,1,33.5,
TP001,11,HR01000100004,VSW,1984,1984,0.1029,1.4166,0.594977851,0.582594438,TSHE,204,1,36.2,
TP001,11,HR01000100004,VSW,1989,1989,0.1122,1.5851,0.665758214,0.648597155,TSHE,204,1,37.8,
TP001,11,HR01000100004,VSW,1995,1995,0.1244,1.8124,0.761218283,0.737117534,TSHE,204,1,39.8,
TP001,11,HR01000100004,VSW,2000,2000,0.1333,1.9828,0.832778433,0.803142927,TSHE,204,1,41.2,nnt;  funky top
TP001,11,HR01000100004,VSW,2007,2007,0.1466,2.2428,0.941958575,0.903392034,TSHE,204,1,43.2,
TP001,11,HR01000100005,VSW,1978,1978,0.5411,10.5658,3.90934331,3.747191667,PISI,205,1,83.0,
TP001,11,HR01000100005,VSW,1984,1984,0.6151,12.2711,4.540308959,4.352069909,PISI,205,1,88.5,
TP001,11,HR01000100005,VSW,1989,1989,0.6263,12.5313,4.636596485,4.444377398,PISI,205,1,89.3,
TP001,11,HR01000100005,VSW,1995,1995,0.639,12.8278,4.746301746,4.549548302,PISI,205,1,90.2,
TP001,11,HR01000100005,VSW,2000,2000,0.6249,12.4986,4.624497403,4.432778417,PISI,205,1,89.2,ddc
TP001,11,HR01000100005,VSW,2007,2007,0.6662,13.4668,4.982727734,4.776203343,PISI,205,1,92.1,
TP001,11,HR01000100006,VSW,1978,1978,0.4465,9.5373,4.005654482,3.598289858,TSHE,206,1,75.4,
TP001,11,HR01000100006,VSW,1984,1984,0.5153,11.4891,4.825416559,4.298348389,TSHE,206,1,81.0,
TP001,11,HR01000100006,VSW,1989,1989,0.5675,13.0224,5.469403204,4.844478239,TSHE,206,1,85.0,
TP001,11,HR01000100006,VSW,1995,1995,0.6179,14.5473,6.109867473,5.384737756,TSHE,206,1,88.7,
TP001,11,HR01000100006,VSW,2000,2000,0.6808,16.4978,6.929093482,6.072095949,TSHE,206,1,93.1,nnt
TP001,11,HR01000100006,VSW,2007,2007,0.7744,19.5072,8.193029084,7.1255231,TSHE,206,1,99.3,
TP001,11,HR01000100007,VSW,1978,1978,0.0697,0.8544,0.358850655,0.359506813,TSHE,207,1,29.8,
TP001,11,HR01000100007,VSW,1984,1984,0.0735,0.9153,0.384427555,0.383933524,TSHE,207,1,30.6,
TP001,11,HR01000100007,VSW,1989,1989,0.0745,0.9309,0.390991712,0.390190449,TSHE,207,1,30.8,
TP001,11,HR01000100007,VSW,1995,1995,0.0745,0.9309,0.390991712,0.390190449,TSHE,207,6,0.0,
TP001,11,HR01000100008,VSW,1978,1978,2.0867,50.9839,18.81307709,18.0852794,PISI,208,1,163.0,Recorded dbh =    166.5
TP001,11,HR01000100008,VSW,1984,1984,2.0867,50.9839,18.81307709,18.0852794,PISI,208,1,163.0,
TP001,11,HR01000100008,VSW,1989,1989,2.1695,53.3487,19.68565542,18.92421177,PISI,208,1,166.2,
TP001,11,HR01000100008,VSW,1995,1995,2.1564,52.9751,19.5478245,18.79169518,PISI,208,1,165.7,double checked dbh; scarring of bole from 291 windthrouw
TP001,11,HR01000100008,VSW,2000,2000,2.2167,54.7058,20.18643309,19.40568201,PISI,208,1,168.0,
TP001,11,HR01000100008,VSW,2007,2007,2.2698,56.2366,20.75129604,19.94876857,PISI,208,1,170.0,NNT
TP001,11,HR01000100009,VSW,1978,1978,0.6969,17.0092,7.143877287,6.251680825,TSHE,209,1,94.2,
TP001,11,HR01000100009,VSW,1984,1984,0.7344,18.2074,7.647120931,6.671509978,TSHE,209,1,96.7,
TP001,11,HR01000100009,VSW,1989,1989,0.7729,19.4562,8.17160338,7.107730465,TSHE,209,1,99.2,
TP001,11,HR01000100009,VSW,1995,1995,0.8123,20.7563,8.717651815,7.560544949,TSHE,209,1,101.7,measured 80 cm above nail becuase of 291 windthrow; Recorded dbh =   95.4
TP001,11,HR01000100009,VSW,2000,2000,0.8528,22.1085,9.285590123,8.030153461,TSHE,209,1,104.2,Recorded dbh =     97.0
TP001,11,HR01000100009,VSW,2007,2007,0.8075,20.5976,8.650976572,7.505324406,TSHE,209,1,101.4,NNT
TP001,11,HR01000100010,VSW,1989,1989,0.0054,0.0492,0.018201359,0.017434356,PISI,7678,2,8.3,NEXT TO 202
TP001,11,HR01000100010,VSW,1995,1995,0.0135,0.1426,0.052758248,0.050541941,PISI,7678,1,13.1,
TP001,11,HR01000100010,VSW,2000,2000,0.0135,0.1426,0.052758248,0.050541941,PISI,7678,6,0.0,not found in 2000;  crushed by 291; not found in 2007; morted in office
TP001,11,HR01000100011,VSW,1989,1989,0.0037,0.032,0.011830682,0.011331511,PISI,7679,2,6.9,
TP001,11,HR01000100011,VSW,1995,1995,0.0071,0.0674,0.024938202,0.023888278,PISI,7679,1,9.5,
TP001,11,HR01000100011,VSW,2000,2000,0.0117,0.1208,0.044689431,0.042811171,PISI,7679,1,12.2,
TP001,11,HR01000100011,VSW,2007,2007,0.0189,0.2111,0.078102911,0.074825683,PISI,7679,1,15.5,
TP001,11,HR01000100012,VSW,1989,1989,0.0043,0.0376,0.013927144,0.013339797,PISI,7680,2,7.4,
TP001,11,HR01000100012,VSW,1995,1995,0.0092,0.0909,0.033632403,0.032217683,PISI,7680,1,10.8,
TP001,11,HR01000100012,VSW,2000,2000,0.0147,0.1583,0.058566067,0.056106535,PISI,7680,1,13.7,
TP001,11,HR01000100012,VSW,2007,2007,0.0214,0.2442,0.090362088,0.086572085,PISI,7680,1,16.5,
