DBCODE,ENTITY,STANDID,PLOTID,SPECIES,YEAR,PORTION,TPH_NHA,BA_M2HA,VOL_M3HA,BIO_MGHA,JENKBIO_MGHA
TP001,8,CH14,CH140001,ALL,1935,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,ALL,1935,LIVE,487,79.364,1339.927,593.259,638.302
TP001,8,CH14,CH140001,ALL,1935,MORTALITY,0,0,0,0,0
TP001,8,CH14,CH140001,ALRU,1935,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,ALRU,1935,LIVE,8,0.803,9.254,3.424,4.585
TP001,8,CH14,CH140001,ALRU,1935,MORTALITY,0,0,0,0,0
TP001,8,CH14,CH140001,PISI,1935,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,PISI,1935,LIVE,30,1.115,15.901,5.883,5.638
TP001,8,CH14,CH140001,PISI,1935,MORTALITY,0,0,0,0,0
TP001,8,CH14,CH140001,PSME,1935,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,PSME,1935,LIVE,238,63.376,1094.749,491.542,540.351
TP001,8,CH14,CH140001,PSME,1935,MORTALITY,0,0,0,0,0
TP001,8,CH14,CH140001,TSHE,1935,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,TSHE,1935,LIVE,213,14.07,220.023,92.41,87.728
TP001,8,CH14,CH140001,TSHE,1935,MORTALITY,0,0,0,0,0
TP001,8,CH14,CH140001,ALL,1940,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,ALL,1940,LIVE,490,84.411,1447.099,640.427,688.151
TP001,8,CH14,CH140001,ALL,1940,MORTALITY,3,0.224,3.006,1.35,1.467
TP001,8,CH14,CH140001,ALRU,1940,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,ALRU,1940,LIVE,8,0.819,9.468,3.503,4.688
TP001,8,CH14,CH140001,ALRU,1940,MORTALITY,0,0,0,0,0
TP001,8,CH14,CH140001,PISI,1940,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,PISI,1940,LIVE,30,1.185,17.055,6.31,6.047
TP001,8,CH14,CH140001,PISI,1940,MORTALITY,0,0,0,0,0
TP001,8,CH14,CH140001,PSME,1940,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,PSME,1940,LIVE,235,66.862,1171.438,525.976,578.568
TP001,8,CH14,CH140001,PSME,1940,MORTALITY,3,0.224,3.006,1.35,1.467
TP001,8,CH14,CH140001,TSHE,1940,INGROWTH,0,0,0,0,0
TP001,8,CH14,CH140001,TSHE,1940,LIVE,218,15.545,249.138,104.638,98.848
