DBCODE,ENTITY,STANDID,SPECIES,YEAR_AGG,PORTION,TPH_NHA,BA_M2HA,VOL_M3HA,BIO_MGHA,JENKBIO_MGHA,NO_PLOTS
TP001,6,HR01,PISI,1978,INGROWTH,0,0,0,0,0,16
TP001,6,HR01,PISI,1978,LIVE,77,52.004,1244.285,459.706,441.372,16
TP001,6,HR01,PISI,1978,MORTALITY,0,0,0,0,0,16
TP001,6,HR01,THPL,1978,INGROWTH,0,0,0,0,0,16
TP001,6,HR01,THPL,1978,LIVE,1,0.66,8.027,2.512,3.55,16
TP001,6,HR01,THPL,1978,MORTALITY,0,0,0,0,0,16
TP001,6,HR01,TSHE,1978,INGROWTH,0,0,0,0,0,16
TP001,6,HR01,TSHE,1978,LIVE,87,19.509,382.865,160.803,146.309,16
TP001,6,HR01,TSHE,1978,MORTALITY,0,0,0,0,0,16
TP001,6,HR01,PSME,1978,INGROWTH,0,0,0,0,0,16
TP001,6,HR01,PSME,1978,LIVE,1,1.371,32.681,14.674,16.36,16
TP001,6,HR01,PSME,1978,MORTALITY,0,0,0,0,0,16
TP001,6,HR01,ALL,1978,INGROWTH,0,0,0,0,0,16
TP001,6,HR01,ALL,1978,LIVE,166,73.544,1667.858,637.696,607.591,16
TP001,6,HR01,ALL,1978,MORTALITY,0,0,0,0,0,16
TP001,6,HR01,PISI,1984,INGROWTH,60,0.232,2.061,0.763,0.731,16
TP001,6,HR01,PISI,1984,LIVE,130,53.129,1271.102,469.618,450.885,16
TP001,6,HR01,PISI,1984,MORTALITY,7,0.219,3.394,1.256,1.203,16
TP001,6,HR01,THPL,1984,INGROWTH,0,0,0,0,0,16
TP001,6,HR01,THPL,1984,LIVE,1,0.706,8.715,2.728,3.827,16
TP001,6,HR01,THPL,1984,MORTALITY,0,0,0,0,0,16
TP001,6,HR01,TSHE,1984,INGROWTH,1,0.006,0.037,0.016,0.018,16
TP001,6,HR01,TSHE,1984,LIVE,84,19.863,394.423,165.658,150.399,16
TP001,6,HR01,TSHE,1984,MORTALITY,4,1.31,26.699,11.214,10.152,16
TP001,6,HR01,PSME,1984,INGROWTH,0,0,0,0,0,16
TP001,6,HR01,PSME,1984,LIVE,1,1.408,33.771,15.163,16.91,16
TP001,6,HR01,PSME,1984,MORTALITY,0,0,0,0,0,16
TP001,6,HR01,ALL,1984,INGROWTH,61,0.238,2.098,0.778,0.748,16
TP001,6,HR01,ALL,1984,LIVE,216,75.106,1708.011,653.166,622.02,16
TP001,6,HR01,ALL,1984,MORTALITY,11,1.529,30.093,12.469,11.356,16
TP001,6,HR01,PISI,1989,INGROWTH,57,0.219,1.928,0.713,0.683,16
TP001,6,HR01,PISI,1989,LIVE,178,53.62,1282.614,473.857,454.969,16
TP001,6,HR01,PISI,1989,MORTALITY,8,1.313,29.213,10.809,10.362,16
TP001,6,HR01,THPL,1989,INGROWTH,0,0,0,0,0,16
TP001,6,HR01,THPL,1989,LIVE,1,0.734,9.152,2.865,4.002,16
TP001,6,HR01,THPL,1989,MORTALITY,0,0,0,0,0,16
TP001,6,HR01,TSHE,1989,INGROWTH,0,0,0,0,0,16
TP001,6,HR01,TSHE,1989,LIVE,81,20.541,413.844,173.814,157.386,16
TP001,6,HR01,TSHE,1989,MORTALITY,4,0.759,14.651,6.153,5.627,16
TP001,6,HR01,PSME,1989,INGROWTH,0,0,0,0,0,16
TP001,6,HR01,PSME,1989,LIVE,1,1.446,34.883,15.662,17.471,16
TP001,6,HR01,PSME,1989,MORTALITY,0,0,0,0,0,16
TP001,6,HR01,ALL,1989,INGROWTH,57,0.219,1.928,0.713,0.683,16
TP001,6,HR01,ALL,1989,LIVE,261,76.342,1740.492,666.198,633.828,16
TP001,6,HR01,ALL,1989,MORTALITY,11,2.073,43.864,16.962,15.989,16
TP001,6,HR01,PISI,1995,INGROWTH,58,0.259,2.361,0.874,0.837,16
TP001,6,HR01,PISI,1995,LIVE,208,38.92,917.856,339.143,325.579,16
TP001,6,HR01,PISI,1995,MORTALITY,30,16.229,396.314,146.421,140.583,16
TP001,6,HR01,THPL,1995,INGROWTH,0,0,0,0,0,16
TP001,6,HR01,THPL,1995,LIVE,1,0.778,9.817,3.073,4.269,16
TP001,6,HR01,THPL,1995,MORTALITY,0,0,0,0,0,16
TP001,6,HR01,TSHE,1995,INGROWTH,0,0,0,0,0,16
TP001,6,HR01,TSHE,1995,LIVE,72,20.307,416.593,174.969,157.933,16
TP001,6,HR01,TSHE,1995,MORTALITY,9,1.812,35.677,14.984,13.613,16
TP001,6,HR01,PSME,1995,INGROWTH,0,0,0,0,0,16
TP001,6,HR01,PSME,1995,LIVE,1,1.489,36.142,16.228,18.107,16
TP001,6,HR01,PSME,1995,MORTALITY,0,0,0,0,0,16
TP001,6,HR01,ALL,1995,INGROWTH,58,0.259,2.361,0.874,0.837,16
TP001,6,HR01,ALL,1995,LIVE,282,61.494,1380.409,533.413,505.887,16
TP001,6,HR01,ALL,1995,MORTALITY,39,18.041,431.991,161.405,154.196,16
TP001,6,HR01,PISI,2000,INGROWTH,48,0.235,2.186,0.809,0.775,16
TP001,6,HR01,PISI,2000,LIVE,228,40.689,958.161,353.953,339.876,16
TP001,6,HR01,PISI,2000,MORTALITY,29,0.191,1.913,0.708,0.678,16
TP001,6,HR01,THPL,2000,INGROWTH,0,0,0,0,0,16
TP001,6,HR01,THPL,2000,LIVE,1,0.814,10.382,3.25,4.495,16
TP001,6,HR01,THPL,2000,MORTALITY,0,0,0,0,0,16
TP001,6,HR01,TSHE,2000,INGROWTH,7,0.027,0.152,0.064,0.075,16
TP001,6,HR01,TSHE,2000,LIVE,71,18.961,394.418,165.656,149.102,16
TP001,6,HR01,TSHE,2000,MORTALITY,8,2.856,59.108,24.825,22.41,16
TP001,6,HR01,PSME,2000,INGROWTH,0,0,0,0,0,16
TP001,6,HR01,PSME,2000,LIVE,1,1.548,37.885,17.01,18.986,16
TP001,6,HR01,PSME,2000,MORTALITY,0,0,0,0,0,16
TP001,6,HR01,ALL,2000,INGROWTH,54,0.262,2.338,0.873,0.85,16
TP001,6,HR01,ALL,2000,LIVE,300,62.011,1400.847,539.869,512.46,16
TP001,6,HR01,ALL,2000,MORTALITY,36,3.046,61.021,25.533,23.088,16
TP001,6,HR01,PISI,2007,INGROWTH,80,7.665,194.93,71.936,69.15,16
TP001,6,HR01,PISI,2007,LIVE,281,48.425,1151.777,425.352,408.56,16
TP001,6,HR01,PISI,2007,MORTALITY,27,2.27,53.69,19.813,19.045,16
TP001,6,HR01,TSHE,2007,INGROWTH,10,0.807,16.23,6.817,6.175,16
TP001,6,HR01,TSHE,2007,LIVE,75,20.477,429.579,180.423,162.204,16
TP001,6,HR01,TSHE,2007,MORTALITY,5,1.415,32.636,13.707,12.092,16
TP001,6,HR01,PSME,2007,INGROWTH,0,0,0,0,0,16
TP001,6,HR01,PSME,2007,LIVE,1,1.579,38.807,17.425,19.452,16
TP001,6,HR01,PSME,2007,MORTALITY,0,0,0,0,0,16
TP001,6,HR01,RHPU,2007,INGROWTH,2,0.025,0.174,0.064,0.095,16
TP001,6,HR01,RHPU,2007,LIVE,2,0.025,0.174,0.064,0.095,16
TP001,6,HR01,RHPU,2007,MORTALITY,0,0,0,0,0,16
TP001,6,HR01,THPL,2007,INGROWTH,0,0,0,0,0,16
TP001,6,HR01,THPL,2007,LIVE,1,0.886,11.511,3.603,4.946,16
TP001,6,HR01,THPL,2007,MORTALITY,0,0,0,0,0,16
TP001,6,HR01,ALRU,2007,INGROWTH,1,0.002,0.009,0.003,0.006,16
TP001,6,HR01,ALRU,2007,LIVE,1,0.002,0.009,0.003,0.006,16
TP001,6,HR01,ALRU,2007,MORTALITY,0,0,0,0,0,16
TP001,6,HR01,MAFU,2007,INGROWTH,1,0.003,0.016,0.006,0.009,16
TP001,6,HR01,MAFU,2007,LIVE,1,0.003,0.016,0.006,0.009,16
