PSP_STUDYID,STANDID,LOC_NAME,STATE,GEO_LOC,VEG_TYPE,APPROX_AGEDOM,SERAL,PLOT_EST,LASTREM,AREA_HA,ELEV_M,LATITUDE,LONGITUDE
SQNP,ABCO,SUWANNE CR. WHITE FIR,CA,SQNP,ABCO,.,Old-growth,1983,1994,0.88,2012,36.6,118.8
SQNP,LMCC,CRESCENT CR. RIPARIAN GIANT SEQUOIA,CA,SQNP,SEGI,.,Old-growth,1982,1994,2,2219,36.57,118.73
SQNP,PIJE,JEFFERY PINE,CA,SQNP,PIJE,.,Old-growth,1983,1994,1,2109,36.6,118.75
SQNP,PILA,SUWANNE CR. -  SUGAR PINE/MIXED CONIFER,CA,SQNP,ABCO,.,Old-growth,1982,1994,1.13,2091,36.6,118.8
SQNP,SUCR,SUWANNE CR. -  RIPARIAN MEXED CONIFER,CA,SQNP,PILA-CADE3,.,Old-growth,1982,1994,1.38,2048,36.6,118.8
SQNP,UCRS,UPPER CRESCENT CR. GIANT SEQUOIA,CA,SQNP,SEGI,.,Old-growth,1983,1994,2.5,2440,36.57,118.73
RMRS,FRA3,FRASER EF -  LODGEPOLE PINE,CO,RockyMtns,PICO,427,Old-growth,1938,1960,2.02,2820,.,.
RMRS,FRB2,FRASER EF -  LODGEPOLE PINE,CO,RockyMtns,PICO,427,Old-growth,1938,2004,2.02,2840,.,.
RMRS,FRC3,FRASER EF -  LODGEPOLE PINE,CO,RockyMtns,PICO,427,Old-growth,1938,2004,2.02,2880,.,.
RMRS,FRD1,FRASER EF -  SPRUCE - FIR,CO,RockyMtns,PIEN-ABLA2,423,Old-growth,1942,2004,3.24,2900,.,.
RMRS,FRD2,FRASER EF -  LODGEPOLE PINE,CO,RockyMtns,PICO,427,Old-growth,1938,2004,2.02,2900,.,.
ALCO,CH11,CASCADE HEAD EF ALDER/CONIFER PLOTS,OR,OR_Coast,TSHE,90,Young,1946,2011,0.2,183,45.042,-123.91
ALCO,CH15,CASCADE HEAD EF ALDER/CONIFER PLOTS,OR,OR_Coast,TSHE,90,Young,1946,2011,0.2,183,45.041,-123.91
ALCO,CH17,CASCADE HEAD EF ALDER/CONIFER PLOTS,OR,OR_Coast,TSHE,90,Young,1946,2011,0.2,183,45.041,-123.91
ALCO,CH22,CASCADE HEAD EF ALDER/CONIFER PLOTS,OR,OR_Coast,TSHE,90,Young,1937,2011,0.4,152,45.041,-123.911
ALCO,CH23,CASCADE HEAD EF ALDER/CONIFER PLOTS,OR,OR_Coast,TSHE,90,Young,1946,2011,0.19,152,45.041,-123.911
DFGY,CH14,CASCADE HEAD EF,OR,OR_Coast,TSHE,165,Mature,1935,2014,0.4,120,45.041,123.916
DFGY,CH41,CASCADE HEAD EF,OR,OR_Coast,TSHE,142,Young,1940,2014,0.4,122,45.031,123.922
DFGY,CH42,CASCADE HEAD EF,OR,OR_Coast,TSHE,142,Young,1940,2014,0.4,91,45.034,123.921
DFGY,MH01,STILL CREEK,OR,OR_WestCasc,TSHE,130,Young,1930,2015,0.4,579,45.307,121.905
DFGY,MH02,STILL CREEK,OR,OR_WestCasc,TSHE,130,Young,1930,2015,0.4,579,45.307,121.904
DFGY,MH03,STILL CREEK,OR,OR_WestCasc,TSHE,130,Young,1930,2015,0.4,579,45.308,121.903
DFGY,SI04,DEADWOOD CREEK,OR,OR_Coast,TSHE,154,Young,1911,1951,0.16,244,44.208,123.711
DFGY,SI05,DEADWOOD CREEK,OR,OR_Coast,TSHE,154,Young,1911,1951,0.18,214,44.202,123.712
DFGY,SI06,SADDLE MTN,OR,OR_Coast,TSHE,142,Young,1926,1970,0.38,396,44.163,123.969
