DBCODE,ENTITY,STANDID,SPECIES,YEAR_AGG,PORTION,TPH_NHA,BA_M2HA,VOL_M3HA,BIO_MGHA,JENKBIO_MGHA,NO_PLOTS
TP001,6,AB08,ABAM,1978,INGROWTH,0,0,0,0,0,16
TP001,6,AB08,ABAM,1978,LIVE,35,0.433,3.717,1.55,1.803,16
TP001,6,AB08,ABAM,1978,MORTALITY,0,0,0,0,0,16
TP001,6,AB08,PSME,1978,INGROWTH,0,0,0,0,0,16
TP001,6,AB08,PSME,1978,LIVE,18,9.375,187.496,84.186,93.143,16
TP001,6,AB08,PSME,1978,MORTALITY,0,0,0,0,0,16
TP001,6,AB08,ABPR,1978,INGROWTH,0,0,0,0,0,16
TP001,6,AB08,ABPR,1978,LIVE,1,0.156,1.726,0.639,0.978,16
TP001,6,AB08,ABPR,1978,MORTALITY,0,0,0,0,0,16
TP001,6,AB08,CHNO,1978,INGROWTH,0,0,0,0,0,16
TP001,6,AB08,CHNO,1978,LIVE,2,0.381,4.918,2.002,1.768,16
TP001,6,AB08,CHNO,1978,MORTALITY,0,0,0,0,0,16
TP001,6,AB08,THPL,1978,INGROWTH,0,0,0,0,0,16
TP001,6,AB08,THPL,1978,LIVE,82,19.024,197.679,61.873,94.72,16
TP001,6,AB08,THPL,1978,MORTALITY,0,0,0,0,0,16
TP001,6,AB08,TSHE,1978,INGROWTH,0,0,0,0,0,16
TP001,6,AB08,TSHE,1978,LIVE,285,45.764,874.076,367.112,335.953,16
TP001,6,AB08,TSHE,1978,MORTALITY,0,0,0,0,0,16
TP001,6,AB08,ALL,1978,INGROWTH,0,0,0,0,0,16
TP001,6,AB08,ALL,1978,LIVE,422,75.134,1269.612,517.361,528.365,16
TP001,6,AB08,ALL,1978,MORTALITY,0,0,0,0,0,16
TP001,6,AB08,TABR,1984,INGROWTH,4,0.01,0.046,0.028,0.024,16
TP001,6,AB08,TABR,1984,LIVE,4,0.01,0.046,0.028,0.024,16
TP001,6,AB08,TABR,1984,MORTALITY,0,0,0,0,0,16
TP001,6,AB08,TSHE,1984,INGROWTH,1,0.024,0.214,0.09,0.096,16
TP001,6,AB08,TSHE,1984,LIVE,280,46.182,886.406,372.29,340.35,16
TP001,6,AB08,TSHE,1984,MORTALITY,4,0.788,15.857,6.66,6.046,16
TP001,6,AB08,PSME,1984,INGROWTH,0,0,0,0,0,16
TP001,6,AB08,PSME,1984,LIVE,18,9.522,191.043,85.778,94.918,16
TP001,6,AB08,PSME,1984,MORTALITY,0,0,0,0,0,16
TP001,6,AB08,ABPR,1984,INGROWTH,0,0,0,0,0,16
TP001,6,AB08,ABPR,1984,LIVE,1,0.159,1.77,0.655,1,16
TP001,6,AB08,ABPR,1984,MORTALITY,0,0,0,0,0,16
TP001,6,AB08,CHNO,1984,INGROWTH,0,0,0,0,0,16
TP001,6,AB08,CHNO,1984,LIVE,2,0.399,5.226,2.127,1.863,16
TP001,6,AB08,CHNO,1984,MORTALITY,0,0,0,0,0,16
TP001,6,AB08,THPL,1984,INGROWTH,0,0,0,0,0,16
TP001,6,AB08,THPL,1984,LIVE,80,19.467,203.559,63.714,97.218,16
TP001,6,AB08,THPL,1984,MORTALITY,0,0,0,0,0,16
TP001,6,AB08,ABAM,1984,INGROWTH,4,0.01,0.043,0.018,0.024,16
TP001,6,AB08,ABAM,1984,LIVE,39,0.502,4.304,1.795,2.088,16
TP001,6,AB08,ABAM,1984,MORTALITY,0,0,0,0,0,16
TP001,6,AB08,ALL,1984,INGROWTH,9,0.045,0.303,0.136,0.143,16
TP001,6,AB08,ALL,1984,LIVE,422,76.241,1292.353,526.387,537.461,16
