DBCODE,ENTITY,STANDID,YEAR_BEGIN,YEAR_END,SPECIES,DELTA_TPH_NHA,DELTA_BA_M2HA,DELTA_VOL_M3HA,DELTA_BIO_MGHA,DELTA_JENKBIO_MGHA,MEAN_ANNUAL_NPP,NO_PLOTS
TP001,7,AB08,1978,1984,ABAM,0,0.0686,0.5866,0.2446,0.2847,0.0408,16
TP001,7,AB08,1978,1984,ABPR,0,0.0028,0.0441,0.0163,0.0219,0.0027,16
TP001,7,AB08,1978,1984,ALL,0,1.1069,22.7416,9.0255,9.0965,1.5043,16
TP001,7,AB08,1978,1984,CHNO,0,0.0176,0.3083,0.1255,0.0952,0.0209,16
TP001,7,AB08,1978,1984,PSME,0,0.1473,3.5466,1.5924,1.775,0.2654,16
TP001,7,AB08,1978,1984,TABR,0,0.0104,0.0464,0.0279,0.0237,0.0046,16
TP001,7,AB08,1978,1984,THPL,0,0.4428,5.8801,1.8405,2.4988,0.3067,16
TP001,7,AB08,1978,1984,TSHE,0,0.4174,12.3294,5.1784,4.3971,0.8631,16
TP001,7,AB08,1984,1990,ABAM,0,0.1137,0.7979,0.3327,0.4001,0.0555,16
TP001,7,AB08,1984,1990,ABPR,0,-0.159,-1.7699,-0.6549,-0.9997,-0.1091,16
TP001,7,AB08,1984,1990,ALL,0,1.0782,25.9056,10.6001,9.9153,2.8767,16
TP001,7,AB08,1984,1990,CHNO,0,0.0066,0.0909,0.037,0.0318,0.0062,16
TP001,7,AB08,1984,1990,PSME,0,0.2086,5.0871,2.2841,2.5473,0.3807,16
TP001,7,AB08,1984,1990,TABR,0,0.002,0.0138,0.0083,0.0067,0.0014,16
TP001,7,AB08,1984,1990,THPL,0,0.2837,4.8145,1.5069,1.8374,0.2512,16
TP001,7,AB08,1984,1990,TSHE,0,0.6226,16.8714,7.086,6.0917,2.291,16
TP001,7,AB08,1990,1995,ABAM,0,0.1228,0.8788,0.3665,0.4411,0.0733,16
TP001,7,AB08,1990,1995,ABPR,0,0,0,0,0,0,16
TP001,7,AB08,1990,1995,ALL,0,-0.7563,-19.8485,-9.2077,-7.7793,-0.8175,16
TP001,7,AB08,1990,1995,CHNO,0,0.0283,0.289,0.1176,0.1121,0.0235,16
TP001,7,AB08,1990,1995,PSME,0,-0.3266,-5.3338,-2.3949,-2.6223,-0.479,16
TP001,7,AB08,1990,1995,TABR,0,0.0036,0.0219,0.0132,0.0105,0.0026,16
TP001,7,AB08,1990,1995,THPL,0,0.4916,6.675,2.0893,2.8046,0.539,16
TP001,7,AB08,1990,1995,TSHE,0,-1.076,-22.3795,-9.3994,-8.5252,-1.1079,16
TP001,7,AB08,1995,2002,ABAM,0,0.1844,1.3151,0.5484,0.6602,0.0783,16
TP001,7,AB08,1995,2002,ALL,0,1.5402,33.319,13.2921,13.3409,5.2392,16
TP001,7,AB08,1995,2002,CHNO,0,0.0192,0.1932,0.0786,0.0775,0.0112,16
TP001,7,AB08,1995,2002,PSME,0,0.2608,6.4444,2.8935,3.2289,1.0179,16
TP001,7,AB08,1995,2002,TABR,0,0.0148,0.0779,0.0467,0.0385,0.0067,16
