DBCODE,ENTITY,PLOTID,YEAR_BEGIN,YEAR_END,SPECIES,DELTA_TPH_NHA,DELTA_BA_M2HA,DELTA_VOL_M3HA,DELTA_BIO_MGHA,DELTA_JENKBIO_MGHA,MEAN_ANNUAL_NPP_BIO,MEAN_ANNUAL_NPP_JENKBIO
TP001,7,AB080001,1978,1984,ABAM,0,0.0848,1.1085,0.4622,0.5044,0.077,0.0841
TP001,9,AB080001,1978,1984,ALL,0,1.872,33.2802,13.6827,13.1231,2.2805,13.1231
TP001,7,AB080001,1978,1984,PSME,0,0.04,0.9345,0.4196,0.4669,0.0699,0.0778
TP001,7,AB080001,1978,1984,THPL,0,0.2656,2.9786,0.9323,1.3726,0.1554,0.2288
TP001,7,AB080001,1978,1984,TSHE,0,1.4816,28.2587,11.8687,10.7792,1.9781,1.7965
TP001,7,AB080001,1984,1990,ABAM,0,0.0816,1.1028,0.4599,0.4994,0.0766,0.0832
TP001,9,AB080001,1984,1990,ALL,0,2.3648,39.237,16.014,15.8287,2.669,15.8287
TP001,7,AB080001,1984,1990,PSME,0,0.1008,2.3508,1.0555,1.1748,0.1759,0.1958
TP001,7,AB080001,1984,1990,THPL,0,0.4368,4.9569,1.5515,2.264,0.2586,0.3773
TP001,7,AB080001,1984,1990,TSHE,0,1.7456,30.8265,12.9471,11.8905,2.1579,1.9818
TP001,7,AB080001,1990,1995,ABAM,0,0.3104,2.4229,1.0104,1.2044,0.2021,0.2409
TP001,9,AB080001,1990,1995,ALL,0,1.9312,37.2522,15.3647,14.519,3.0729,14.519
TP001,7,AB080001,1990,1995,PSME,0,0.0608,1.4205,0.6378,0.71,0.1276,0.142
TP001,7,AB080001,1990,1995,THPL,0,0.256,2.9456,0.922,1.3353,0.1844,0.2671
TP001,7,AB080001,1990,1995,TSHE,0,1.304,30.4632,12.7945,11.2694,2.5589,2.2539
TP001,7,AB080001,1995,2002,ABAM,0,0.1248,1.4949,0.6234,0.6904,0.0891,0.0986
TP001,9,AB080001,1995,2002,ALL,0,2.9056,53.7125,21.8738,21.2266,3.1248,21.2266
TP001,7,AB080001,1995,2002,PSME,0,0.1216,2.8637,1.2858,1.4314,0.1837,0.2045
TP001,7,AB080001,1995,2002,THPL,0,0.6096,7.1408,2.2351,3.2049,0.3193,0.4578
TP001,7,AB080001,1995,2002,TSHE,0,2.0496,42.2131,17.7295,15.9,2.5328,2.2714
TP001,7,AB080001,2002,2008,ABAM,0,0.1568,1.9532,0.8145,0.8942,0.1357,0.149
TP001,9,AB080001,2002,2008,ALL,0,1.416,41.2169,16.9899,15.5912,2.8317,15.5912
TP001,7,AB080001,2002,2008,PSME,0,0.2064,4.8402,2.1733,2.4198,0.3622,0.4033
TP001,7,AB080001,2002,2008,THPL,0,0.3568,4.2584,1.3329,1.8925,0.2221,0.3154
TP001,7,AB080001,2002,2008,TSHE,0,0.696,30.165,12.6693,10.3848,2.1116,1.7308
TP001,9,AB080002,1978,1984,ALL,0,1.1248,24.5976,10.3121,9.4988,1.7187,9.4988
TP001,7,AB080002,1978,1984,PSME,0,0.0864,1.8691,0.8392,0.9312,0.1399,0.1552
TP001,7,AB080002,1978,1984,THPL,0,0.0656,0.6833,0.2139,0.3264,0.0356,0.0544
TP001,7,AB080002,1978,1984,TSHE,0,0.9728,22.0452,9.259,8.2412,1.5432,1.3735
TP001,9,AB080002,1984,1990,ALL,0,1.2848,28.1097,11.8303,11.0105,1.9717,11.0105
