dbcode,entity,species,proxy,eqnset,quality,source,eqn_no,component,form,h1,h2,h3,b1,b2,b3,j1,j2,wooddensity
"TP001",10,"ABAM","ABAM","normal","B","TV009","TV00908_96","VSW","lnln",0.00000,0.000000,0.000000,1.0472000000,0.000112900,2.58670,-2.5384,2.4814,0.417
"TP001",10,"ABCO","ABCO","big","B","TV009","TV00908_75","VSW","lnln",0.00000,0.000000,0.000000,1.0306000000,0.000093200,2.62060,-2.5384,2.4814,0.419
"TP001",10,"ABCO","ABCO","normal","B","TV009","TV00908_99","VSW","lnln",0.00000,0.000000,0.000000,1.0256000000,0.000047300,2.77270,-2.5384,2.4814,0.419
"TP001",10,"ABGR","ABCO","normal","C","TV009","TV00908_99","VSW","lnln",0.00000,0.000000,0.000000,1.0256000000,0.000047300,2.77270,-2.5384,2.4814,0.350
"TP001",10,"ABLA2","ABLA2","normal","B","TV009","TV00908_102","VSW","lnln",0.00000,0.000000,0.000000,1.0154000000,0.000189600,2.38090,-2.5384,2.4814,0.337
"TP001",10,"ABMA","ABMA","big","B","TV009","TV00908_78","VSW","lnln",0.00000,0.000000,0.000000,1.0144000000,0.000052700,2.74780,-2.5384,2.4814,0.399
"TP001",10,"ABMA","ABMA","normal","C","TV009","TV00908_141","VSW","d2ht",59.05185,-0.016177,1.152987,0.3102000000,0.000000000,0.00000,-2.5384,2.4814,0.399
"TP001",10,"ABPR","ABPR","big","F","TV009","TV00908_105","VSW","lnln",0.00000,0.000000,0.000000,1.0171000000,0.000122700,2.58120,-2.5384,2.4814,0.370
"TP001",10,"ABPR","ABPR","normal","D","TV009","TV00908_163","VSW","d2ht",78.60353,-0.013330,1.185140,0.2734000000,0.000000000,0.00000,-2.5384,2.4814,0.370
"TP001",10,"ACGL","ACMA","normal","B","TP072","BIOPAK_654","VAE","mod_biopak",30.41311,-0.034245,0.682100,0.0000718000,2.224620000,0.57561,-1.9123,2.3651,0.440
"TP001",10,"ACMA","ACMA","normal","A","TP072","BIOPAK_654","VAE","mod_biopak",30.41311,-0.034245,0.682100,0.0000718000,2.224620000,0.57561,-1.9123,2.3651,0.440
"TP001",10,"ALIN","ALRU","normal","D","TP072","BIOPAK_423","VSW","alder_biopak",35.55002,-0.028323,0.796024,4.9883106000,2.499900000,0.00000,-2.2094,2.3867,0.370
"TP001",10,"ALRU","ALRU","normal","B","TP072","BIOPAK_423","VSW","alder_biopak",35.55002,-0.028323,0.796024,4.9883106000,2.499900000,0.00000,-2.2094,2.3867,0.370
"TP001",10,"ALSI","ALRU","normal","D","TP072","BIOPAK_423","VSW","alder_biopak",35.55002,-0.028323,0.796024,4.9883106000,2.499900000,0.00000,-2.2094,2.3867,0.370
"TP001",10,"CONU","ALRU","normal","D","TP072","BIOPAK_423","VSW","alder_biopak",35.55002,-0.028323,0.796024,4.9883106000,2.499900000,0.00000,-2.4800,2.4835,0.580
